time,disMax,disMin,disAvg,disInter,disStd,speedAvg,vMax,vMaxPos,vMin,vAvg,vInter,vStd,vEqualPer,vPre5,vPre5DivVmax,vPre5DivVmin,vPost10,vPost10DivVmax,vPost10DivVmin,vdMax,vdMin,vdInter,vdAvg,vdStd,vdEqualPer,yMax,yMin,yAvg,yStd,yInter,yTotalDis,yv,yTotalDisAvg,yDisMax,yDisEqualPer,yvAvg,yvStd
0.81,8.0,1.0,1.86,7.0,1.34,0.13,1.0,0.07,0.01,0.26,0.99,0.28,0.04,0.62,0.38,0.61,0.07,0.93,0.06,0.93,0.0,0.93,0.19,0.25,0.04,2.0,-1.0,-0.32,1.13,3.0,4.0,0.0,0.07,1.0,0.93,0.01,0.03
1.61,4.0,1.0,1.49,3.0,0.69,0.07,1.0,0.65,0.0,0.21,1.0,0.2,0.07,0.14,0.86,0.14,0.01,0.99,0.01,0.87,0.0,0.87,0.19,0.21,0.06,0.0,-15.0,-11.36,4.31,15.0,15.0,0.01,0.21,1.0,0.79,0.02,0.05
2.56,36.0,0.0,2.37,36.0,4.41,0.11,3.6,0.01,0.0,0.15,3.6,0.37,0.2,0.54,3.06,0.54,0.01,3.59,0.01,3.1,0.0,3.1,0.09,0.29,0.24,37.0,0.0,18.3,11.38,37.0,67.0,0.03,0.54,4.0,0.59,0.03,0.05
3.0,6.0,0.0,1.81,6.0,0.99,0.04,0.75,0.37,0.0,0.2,0.75,0.14,0.19,0.21,0.54,0.21,0.0,0.75,0.0,0.5,0.0,0.5,0.1,0.1,0.18,0.0,-1.0,-0.86,0.34,1.0,1.0,0.0,0.01,1.0,0.99,0.0,0.01
3.0,4.0,0.0,1.25,4.0,0.62,0.03,0.5,0.46,0.0,0.11,0.5,0.09,0.08,0.05,0.45,0.05,0.0,0.5,0.0,0.38,0.0,0.38,0.08,0.08,0.09,1.0,-8.0,-3.21,2.9,9.0,25.0,0.0,0.13,1.0,0.87,0.01,0.03
2.26,3.0,0.0,1.7,3.0,0.69,0.07,0.38,0.02,0.0,0.1,0.38,0.05,0.09,0.15,0.23,0.15,0.01,0.36,0.01,0.29,0.0,0.29,0.04,0.04,0.19,0.0,-6.0,-3.37,1.13,6.0,6.0,0.0,0.06,1.0,0.94,0.0,0.01
1.81,13.0,0.0,3.78,13.0,3.86,0.09,4.33,0.11,0.0,0.53,4.33,0.77,0.02,1.04,3.3,1.04,0.0,4.33,0.0,3.08,0.0,3.08,0.32,0.61,0.09,3.0,-1.0,1.5,1.5,4.0,7.0,0.0,0.16,2.0,0.87,0.02,0.06
2.44,13.0,0.0,1.42,13.0,1.86,0.05,0.45,0.01,0.0,0.08,0.45,0.09,0.12,0.32,0.13,0.32,0.0,0.44,0.0,0.24,0.0,0.24,0.05,0.05,0.12,0.0,-13.0,-11.71,2.31,13.0,13.0,0.01,0.17,5.0,0.88,0.01,0.03
3.0,4.0,0.0,1.19,4.0,1.02,0.03,0.27,0.1,0.0,0.07,0.27,0.07,0.1,0.18,0.1,0.18,0.01,0.27,0.01,0.2,0.0,0.2,0.04,0.04,0.18,2.0,-10.0,-3.25,4.27,12.0,18.0,0.0,0.14,1.0,0.86,0.01,0.02
2.23,4.0,0.0,1.07,4.0,0.45,0.04,2.0,0.16,0.0,0.24,2.0,0.28,0.08,0.22,1.78,0.22,0.01,1.99,0.01,1.83,0.0,1.83,0.22,0.33,0.06,1.0,-1.0,0.05,0.43,2.0,3.0,0.0,0.03,1.0,0.97,0.01,0.07
