time,disMax,disMin,disAvg,disInter,disStd,speedAvg,vMax,vMaxPos,vMin,vAvg,vInter,vStd,vEqualPer,vPre5,vPre5DivVmax,vPre5DivVmin,vPost10,vPost10DivVmax,vPost10DivVmin,vdMax,vdMin,vdInter,vdAvg,vdStd,vdEqualPer,yMax,yMin,yAvg,yStd,yInter,yTotalDis,yv,yTotalDisAvg,yDisMax,yDisEqualPer,yvAvg,yvStd
3.0,6.0,0.0,1.29,6.0,0.9,0.03,2.0,0.18,0.0,0.53,2.0,0.43,0.17,0.1,1.9,0.1,0.0,2.0,0.0,1.5,0.0,1.5,0.35,0.38,0.15,7.0,0.0,5.34,1.64,7.0,9.0,0.0,0.09,1.0,0.91,0.03,0.11
0.38,2.0,1.0,1.18,1.0,0.39,0.15,1.0,0.35,0.02,0.32,0.98,0.21,0.23,0.15,0.85,0.13,0.06,0.94,0.04,0.83,0.0,0.83,0.18,0.21,0.15,0.0,-1.0,-0.88,0.32,1.0,1.0,0.0,0.02,1.0,0.98,0.01,0.05
2.73,6.0,0.0,2.03,6.0,1.23,0.08,0.86,0.07,0.0,0.24,0.86,0.2,0.08,0.53,0.32,0.53,0.01,0.85,0.01,0.6,0.0,0.6,0.14,0.15,0.11,9.0,0.0,3.68,2.85,9.0,9.0,0.0,0.08,2.0,0.92,0.01,0.03
0.83,3.0,0.0,1.2,3.0,0.45,0.21,2.0,0.32,0.0,0.45,2.0,0.32,0.32,0.29,1.71,0.29,0.04,1.96,0.04,1.67,0.0,1.67,0.23,0.28,0.27,1.0,-1.0,-0.43,0.82,2.0,3.0,0.0,0.02,1.0,0.98,0.01,0.06
1.05,18.0,0.0,4.74,18.0,4.55,0.17,1.2,0.11,0.0,0.29,1.2,0.29,0.14,0.57,0.63,0.57,0.01,1.19,0.01,0.62,0.0,0.62,0.08,0.12,0.03,15.0,0.0,8.46,5.27,15.0,22.0,0.02,0.58,2.0,0.55,0.03,0.04
1.77,5.0,1.0,2.01,4.0,1.02,0.11,0.83,0.07,0.0,0.26,0.83,0.17,0.07,0.36,0.47,0.36,0.01,0.82,0.01,0.72,0.0,0.72,0.14,0.14,0.05,0.0,-4.0,-2.22,1.11,4.0,4.0,0.0,0.04,1.0,0.96,0.0,0.02
2.1,11.0,1.0,4.35,10.0,3.22,0.1,3.33,0.06,0.0,0.65,3.33,0.75,0.02,1.0,2.33,1.0,0.01,3.33,0.0,2.79,0.0,2.79,0.54,0.74,0.04,0.0,-2.0,-1.9,0.42,2.0,2.0,0.0,0.04,1.0,0.96,0.01,0.05
1.43,4.0,1.0,1.97,3.0,0.84,0.11,3.0,0.1,0.01,0.32,2.99,0.46,0.08,0.11,2.89,0.11,0.03,2.97,0.02,2.87,0.0,2.87,0.33,0.6,0.08,0.0,-12.0,-2.55,3.75,12.0,12.0,0.01,0.16,1.0,0.84,0.02,0.12
1.95,3.0,0.0,1.22,3.0,0.49,0.04,0.5,0.12,0.0,0.14,0.5,0.1,0.16,0.17,0.33,0.17,0.01,0.49,0.01,0.38,0.0,0.38,0.09,0.09,0.16,3.0,-1.0,0.42,1.14,4.0,5.0,0.0,0.09,1.0,0.91,0.01,0.03
1.41,9.0,1.0,2.57,8.0,1.81,0.07,0.5,0.17,0.0,0.15,0.5,0.11,0.11,0.1,0.4,0.1,0.0,0.5,0.0,0.23,0.0,0.23,0.06,0.06,0.18,1.0,0.0,0.21,0.41,1.0,1.0,0.0,0.03,1.0,0.97,0.0,0.01
